City,Country,lat,long,temp,humidity,cloudiness,wind speed
Verkhnevilyuysk,RU,63.45,120.32,72.12200000000004,52,100,2.1
Yellowknife,CA,62.46,-114.35,53.22200000000004,87,75,6.2
Aswān,EG,24.09,32.91,108.28399999999999,7,0,4.32
Brae,GB,60.4,-1.35,57.2,71,40,3.6
Punta Arenas,CL,-53.15,-70.92,30.091999999999995,86,40,2.6
Okhotsk,RU,59.38,143.3,57.14600000000005,88,0,2.66
Hienghène,NC,-20.68,164.93,68.86400000000003,83,23,3.63
Sulat,PH,11.81,125.45,80.29400000000007,81,100,3.65
Bathsheba,BB,13.22,-59.52,86.0,66,40,4.6
Lagoa,PT,39.05,-27.98,68.95400000000005,81,52,5.95
Los Llanos de Aridane,ES,28.66,-17.92,75.88399999999999,65,20,8.2
Ust'-Koksa,RU,50.27,85.61,64.31000000000009,71,1,2.59
Palana,RU,59.12,159.97,50.55800000000001,95,100,4.79
Guerrero Negro,MX,27.98,-114.06,68.30600000000003,82,0,4.56
Saint George,US,37.1,-113.58,77.43200000000002,23,1,4.1
Balingasay,PH,16.36,119.86,85.49600000000005,69,41,2.48
Teguise,ES,29.06,-13.56,82.4,61,20,10.3
Narsaq,GL,60.92,-46.05,51.8,71,75,2.1
Muros,ES,42.78,-9.06,77.59400000000008,53,3,6.7
Krasnoarmiys'k,UA,48.28,37.18,72.57200000000003,48,54,4.77
Northam,GB,51.03,-4.22,61.016000000000005,79,77,4.02
Yulara,AU,-25.24,130.99,44.6,33,0,2.6
Tuktoyaktuk,CA,69.45,-133.04,48.2,81,75,4.1
Sefophe,BW,-22.18,27.97,63.320000000000064,34,0,7.93
Hobart,AU,-42.88,147.33,45.28399999999999,81,90,1.5
Beira,MZ,-19.84,34.84,68.0,82,75,9.3
Qaanaaq,GL,77.48,-69.36,40.838000000000044,83,100,4.66
Pacifica,US,37.61,-122.49,55.99400000000007,82,75,3.1
Avarua,CK,-21.21,-159.78,68.0,60,100,1.5
Barrow,US,71.29,-156.79,33.8,86,90,4.6
Byron Bay,AU,-28.65,153.62,53.45600000000003,66,0,3.1
Busselton,AU,-33.65,115.33,54.788000000000046,83,75,7.83
Olafsvik,IS,64.89,-23.71,50.25200000000008,92,100,5.17
Poum,NC,-20.23,164.02,70.86200000000005,73,0,6.35
Lüderitz,NA,-26.65,15.16,84.2,13,0,7.7
Salalah,OM,17.02,54.09,82.4,88,90,4.6
Saint-Philippe,RE,-21.36,55.77,69.27800000000006,73,41,3.6
Quatre Cocos,MU,-20.21,57.76,74.04800000000003,64,40,5.1
Hof,DE,50.32,11.92,58.064000000000036,87,40,3.6
Honggang,CN,46.47,124.87,78.96200000000006,53,14,4.13
Nome,US,64.5,-165.41,50.360000000000085,87,90,3.6
Mananara,MG,-16.17,49.77,72.5,79,23,2.68
Sinnamary,GF,5.38,-52.95,83.3,70,0,3.36
San Quintín,MX,30.48,-115.95,66.63200000000002,86,56,4.8
Provideniya,RU,64.38,-173.3,45.98600000000007,94,99,2.23
Castro,BR,-24.79,-50.01,59.63000000000004,70,11,2.12
Kiryat Gat,IL,31.61,34.76,89.00600000000003,30,0,0.89
Tasiilaq,GL,65.61,-37.64,44.6,75,20,3.1
Kidal,ML,18.44,1.41,102.07400000000001,22,9,3.3
Okha,RU,53.57,142.95,56.19199999999999,86,7,4.5
Port Alfred,ZA,-33.59,26.89,62.024000000000015,36,28,1.64
Atuona,PF,-9.8,-139.03,79.016,78,4,8.75
Cherskiy,RU,68.75,161.3,40.29800000000002,81,100,3.35
Hermanus,ZA,-34.42,19.23,62.99600000000005,45,0,1.79
Tuatapere,NZ,-46.13,167.68,39.00200000000008,83,87,1.34
Srīvardhan,IN,18.03,73.02,77.93600000000006,89,100,9.05
Kibala,TD,9.11,18.35,89.6,52,40,1.0
Madimba,TZ,-10.4,40.33,86.0,45,20,8.2
Pimentel,PE,-6.84,-79.93,60.8,87,90,0.5
Kangaatsiaq,GL,68.31,-53.46,43.86200000000006,82,81,3.0
Puerto Escondido,MX,15.85,-97.07,77.0,78,90,4.1
Manakara,MG,-22.13,48.02,71.20400000000005,82,0,1.42
Matagami,CA,49.75,-77.63,68.0,82,90,4.1
Warman,CA,52.32,-106.57,59.12600000000009,76,75,5.7
Puerto Ayora,EC,-0.74,-90.35,66.99199999999999,96,76,2.24
Aligoodarz,IR,33.4,49.69,84.86600000000001,13,9,6.95
Iqaluit,CA,63.75,-68.51,55.202000000000076,71,20,3.1
Kalangala,UG,-0.31,32.23,75.2,73,20,5.1
Gizo Government Station,SB,-8.1,156.84,82.25600000000003,77,100,3.65
Wasilla,US,61.58,-149.44,52.64600000000005,93,1,1.15
Port Macquarie,AU,-31.43,152.92,57.992,63,46,1.34
Baykit,RU,61.67,96.37,54.48200000000001,67,85,4.74
Moss Point,US,30.41,-88.53,84.32600000000009,88,20,2.1
Garden City,US,42.33,-83.33,77.97200000000004,64,75,3.1
Oktyabr'skoye,RU,43.06,44.74,77.0,65,75,4.0
Thompson,CA,55.74,-97.86,59.0,93,90,5.1
Rancho Cucamonga,US,34.11,-117.59,62.20400000000005,88,90,1.5
New Norfolk,AU,-42.78,147.06,43.412000000000056,84,100,0.4
Geraldton,AU,-28.77,114.6,55.4,87,30,4.6
Port-Gentil,GA,-0.72,8.78,82.4,65,40,3.75
Longido,TZ,-2.73,36.68,72.62600000000009,52,100,6.91
Kloulklubed,PW,7.04,134.26,77.0,94,75,1.5
Banda Aceh,ID,5.56,95.32,81.608,75,80,0.35
Walvis Bay,NA,-22.96,14.51,84.41600000000001,6,0,4.6
Batemans Bay,AU,-35.72,150.18,37.61600000000001,88,43,4.76
Clyde River,CA,70.47,-68.59,55.4,76,40,4.6
Beringovskiy,RU,63.05,179.32,48.34400000000007,88,24,3.92
Dikson,RU,73.51,80.55,40.64000000000002,92,100,5.76
Chui,UY,-33.7,-53.46,46.38200000000002,58,0,1.65
Celestún,MX,20.87,-90.4,82.63399999999999,74,69,4.48
Wajima,JP,37.4,136.9,69.74600000000005,92,99,5.02
Iranduba,BR,-3.28,-60.19,86.0,70,20,2.1
La Santisima Trinidad,BO,-14.83,-64.9,77.52200000000003,59,0,1.84
Tayoltita,MX,24.08,-105.93,75.12800000000007,67,9,1.04
Saint-Joseph,RE,-21.37,55.62,69.38600000000007,73,35,3.6
Belaya Gora,RU,68.53,146.42,40.22600000000009,70,7,3.27
Irasan,PH,8.53,123.21,78.96200000000006,86,100,5.22
Asino,RU,57.0,86.15,61.44800000000002,73,59,2.27
Bambous Virieux,MU,-20.34,57.76,74.15600000000003,64,40,5.1
Santa Isabel Rio Negro,BR,-0.41,-65.02,87.08000000000004,60,0,1.08
Sheridan,US,44.83,-106.92,56.983999999999995,50,1,0.56
Port Blair,IN,11.67,92.75,82.04000000000002,81,100,4.64
La Palma del Condado,ES,37.39,-6.55,96.27800000000006,34,0,4.47
Hare Bay,CA,48.85,-54.01,48.092,93,90,6.7
Atbasar,KZ,51.8,68.33,80.52800000000006,51,0,4.54
Malinovoye Ozero,RU,51.68,79.78,75.434,48,0,6.33
Aksarka,RU,66.56,67.8,61.7,93,100,4.77
Ilulissat,GL,69.22,-51.1,46.4,65,75,2.6
Lata,PT,40.16,-8.33,89.51000000000008,27,0,2.68
Tonj,SS,7.27,28.68,83.04800000000003,76,100,1.17
Vila,PT,42.03,-8.16,84.99199999999999,40,23,5.81
Nemuro,JP,43.32,145.57,53.6,89,96,4.4
Vanavara,RU,60.34,102.28,57.34400000000007,61,67,3.99
Nanga Eboko,CM,4.68,12.37,75.95600000000003,85,68,1.42
Mahébourg,MU,-20.41,57.7,75.2,64,40,5.1
Mossamedes,AO,-15.2,12.15,77.0,65,0,6.2
Hong Kong,HK,22.29,114.16,84.70400000000005,66,100,5.36
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,48.38000000000004,52,100,1.19
Necochea,AR,-38.55,-58.74,44.99600000000005,76,4,2.68
Cape Town,ZA,-33.93,18.42,61.39400000000008,33,0,2.6
Bethel,US,41.37,-73.41,69.62000000000006,82,90,1.5
Villa Rica,US,33.73,-84.92,80.40200000000007,65,1,1.16
Cidreira,BR,-30.18,-50.21,49.80200000000008,61,0,2.96
Mahon,ES,39.89,4.27,78.8,50,20,6.7
Kaeo,NZ,-35.1,173.78,57.992,3,30,0.71
Barcelos,PT,41.54,-8.62,88.75400000000005,40,0,4.6
Coyhaique,CL,-45.58,-72.07,30.2,92,90,1.0
Nikolskoye,RU,59.7,30.79,63.08600000000007,45,20,4.0
Vila Franca do Campo,PT,37.72,-25.43,71.6,73,75,5.1
Little Current,CA,45.98,-81.92,70.46600000000001,77,40,6.7
Brigham City,US,41.51,-112.02,56.42600000000009,50,1,1.5
Upernavik,GL,72.79,-56.15,42.944000000000074,86,86,2.5
Bengkulu,ID,-3.8,102.27,78.908,80,100,1.72
Malbork,PL,54.04,19.03,77.0,38,2,2.6
Bullhead City,US,35.15,-114.57,85.55,16,1,1.57
Lethem,GY,3.38,-59.8,84.47000000000006,68,1,2.73
Hilo,US,19.73,-155.09,70.16000000000008,88,90,3.1
Zhigansk,RU,66.77,123.37,66.38000000000004,52,91,3.5
Hithadhoo,MV,-0.6,73.08,84.84800000000003,70,85,3.09
Verāval,IN,20.9,70.37,82.20200000000008,83,100,3.74
Leningradskiy,RU,69.38,178.42,39.72200000000004,90,99,3.79
Ternate,ID,0.8,127.4,80.33000000000004,77,95,1.17
Severo-Kuril'sk,RU,50.68,156.12,50.09000000000002,91,83,3.68
Fuxin,CN,42.02,121.66,78.49400000000007,55,98,3.15
Pouembout,NC,-21.13,164.9,67.53200000000001,76,70,2.02
Hofn,IS,64.25,-15.21,51.8,93,90,1.5
Arlit,NE,18.74,7.39,101.33600000000007,19,0,2.02
Benicarló,ES,40.42,0.43,76.96400000000003,56,99,2.68
North Platte,US,41.12,-100.77,61.86200000000006,82,90,4.1
Piaçabuçu,BR,-10.41,-36.43,80.69000000000003,69,15,3.99
Houston,US,29.76,-95.36,83.58800000000005,78,40,2.1
Marzuq,YE,14.4,46.47,93.25400000000005,32,59,4.88
Grindavik,IS,63.84,-22.43,53.6,87,75,7.7
Myitkyina,MM,25.38,97.4,76.28000000000004,95,94,0.61
Port-Cartier,CA,50.03,-66.87,64.184,68,20,4.6
Ahipara,NZ,-35.17,173.17,58.01000000000008,95,24,2.21
Kailua,US,21.4,-157.74,73.00400000000005,73,75,4.6
Kununurra,AU,-15.77,128.73,57.2,30,0,3.99
Lillesand,NO,58.25,8.38,63.733999999999995,63,40,5.7
Iwanai,JP,42.97,140.51,58.38800000000005,90,36,1.82
Namatanai,PG,-3.67,152.43,79.23200000000001,76,7,1.36
Butembo,CD,0.15,29.28,69.47600000000008,76,78,0.6
Colombo,LK,6.93,79.85,84.2,89,40,4.1
Jalu,LY,29.03,21.55,100.13000000000004,14,0,6.11
Harbour Breton,CA,47.48,-55.8,52.71800000000009,91,100,8.38
Tiksi,RU,71.69,128.87,37.18399999999999,81,0,4.37
Rocha,UY,-34.48,-54.33,48.32600000000009,55,0,1.9
Barra do Garças,BR,-15.89,-52.26,85.71200000000006,28,0,2.89
Flinders,AU,-34.58,150.86,54.17600000000009,63,88,4.02
Ballina,AU,-28.87,153.57,52.97000000000006,66,0,3.1
Saýat,TM,38.78,63.88,107.6,9,77,5.1
Hualmay,PE,-11.1,-77.61,64.13000000000004,75,58,4.16
Verkhnyaya Inta,RU,65.98,60.31,61.214000000000034,88,91,6.41
Oblivskaya,RU,48.54,42.5,75.79400000000007,46,5,4.74
Saskylakh,RU,71.92,114.08,75.18200000000002,47,55,5.38
Krasnoarmeysk,RU,51.02,45.7,75.48800000000004,49,5,5.76
Balakhta,RU,55.38,91.6,57.02000000000006,73,39,3.04
Boddam,GB,57.47,-1.78,62.52800000000006,72,75,2.6
Muhafazat Lahij,YE,13.17,44.58,77.91800000000009,60,100,14.1
Vao,NC,-22.67,167.48,69.674,81,49,6.39
Garoowe,SO,8.41,48.48,91.94000000000003,30,96,12.14
Mariehamn,AX,60.1,19.93,64.4,72,20,4.1
Ribeira Grande,PT,38.52,-28.7,73.4,73,40,8.7
Lompoc,US,34.64,-120.46,56.78600000000007,87,81,2.1
Andros Town,BS,24.7,-77.77,86.0,74,75,2.6
Dingle,PH,11.0,122.67,76.62200000000004,90,100,4.79
Samarai,PG,-10.62,150.67,77.81000000000009,90,56,5.76
Longyearbyen,SJ,78.22,15.64,46.4,70,75,2.1
Miraflores,MX,19.22,-98.81,63.266000000000005,63,75,2.1
Esperance,AU,-33.87,121.9,46.4,81,0,3.1
Sambava,MG,-14.27,50.17,75.39800000000002,75,88,7.43
Korla,CN,41.76,86.15,80.99600000000005,67,100,1.79
São João da Barra,BR,-21.64,-41.05,77.82800000000006,88,90,5.1
Kavieng,PG,-2.57,150.8,81.35600000000002,71,33,1.19
Kuusamo,FI,65.97,29.18,62.6,59,20,5.1
Newport,GB,51.59,-3.0,63.55400000000005,74,92,1.34
Itarema,BR,-2.92,-39.92,84.29000000000002,61,16,5.55
Yangi Marg`ilon,UZ,40.43,71.72,95.0,20,100,3.1
Doha,QA,25.29,51.53,106.08800000000005,36,0,5.1
Järva-Jaani,EE,59.04,25.89,67.316,50,100,3.17
Halden,NO,59.12,11.39,66.05600000000003,63,75,4.1
San Patricio,MX,19.22,-104.7,82.4,78,75,3.1
Kamenka,RU,51.32,42.77,73.50800000000001,52,47,4.02
Iquique,CL,-20.22,-70.14,57.2,76,40,2.1
Kupino,RU,54.37,77.3,67.29800000000003,68,53,3.71
Cayenne,GF,4.93,-52.33,87.8,66,75,2.6
Balabac,PH,7.99,117.06,82.92200000000004,74,63,2.79
Sola,VU,-13.88,167.55,79.358,80,100,5.23
Luau,AO,-10.71,22.22,85.316,13,0,3.87
Kahului,US,20.89,-156.47,74.49800000000002,69,1,4.6
Butaritari,KI,3.07,172.79,82.5260000000001,75,99,4.47
Lewisville,US,33.05,-96.99,81.08600000000007,74,75,3.1
Cabo San Lucas,MX,22.89,-109.91,83.15600000000003,48,20,5.58
Lufilufi,WS,-13.87,-171.6,77.0,94,87,1.79
Killybegs,IE,54.63,-8.45,58.33399999999999,93,90,6.7
Felanitx,ES,39.47,3.15,83.76800000000009,48,20,6.7
Cerrito,CO,6.84,-72.69,69.8,77,40,2.1
Rio Grande,BR,-32.03,-52.1,50.0,46,0,2.6
Linguère,SN,15.4,-15.12,95.57600000000009,29,0,3.66
Vardø,NO,70.37,31.11,60.8,59,5,4.6
Pevek,RU,69.7,170.31,45.96800000000009,83,100,1.96
São Filipe,CV,14.9,-24.5,78.17000000000006,78,38,4.97
Uinskoye,RU,56.88,56.58,86.36000000000008,53,0,2.98
Crotone,IT,39.09,17.12,82.4,65,20,6.2
Fonte Boa,BR,-2.5,-66.27,84.83000000000004,67,4,0.64
Khatanga,RU,71.97,102.5,60.332000000000015,64,100,4.04
Mossoró,BR,-5.19,-37.34,87.89000000000001,42,52,5.22
Kyra,RU,49.58,111.98,62.65400000000005,81,86,0.94
Tamiahua,MX,21.27,-97.45,83.08399999999999,81,45,3.75
Tessalit,ML,20.2,1.01,103.766,18,1,4.18
Codrington,AU,-38.27,141.97,42.09800000000003,91,0,2.59
Baker City,US,44.77,-117.83,55.47200000000004,58,1,1.15
Iquitos,PE,-3.75,-73.25,77.0,88,75,1.5
Kudahuvadhoo,MV,2.67,72.89,84.74000000000002,71,100,3.38
Caravelas,BR,-17.71,-39.25,80.61800000000008,61,0,2.16
Kropotkin,RU,45.44,40.58,79.39400000000008,42,14,0.76
Pālampur,IN,32.12,76.53,77.19800000000002,58,44,0.32
Rolla,US,37.95,-91.77,78.60200000000007,88,1,4.6
Verkhnyaya Maksakovka,RU,61.63,50.97,73.4,73,40,7.0
Kavaratti,IN,10.57,72.64,83.26400000000004,80,100,8.16
Bonthe,SL,7.53,-12.51,80.45600000000003,74,98,7.54
Rome,US,43.21,-75.46,69.17000000000006,93,90,2.6
Kapaa,US,22.08,-159.32,74.12000000000006,88,90,3.6
Carnarvon,AU,-24.87,113.63,66.2,68,0,3.6
Vangaindrano,MG,-23.35,47.6,71.38399999999999,80,0,2.06
Lago da Pedra,BR,-4.33,-45.17,85.13600000000007,63,24,1.72
Sterling,US,39.01,-77.43,79.82600000000009,54,20,2.6
Alta Floresta,BR,-9.88,-56.09,84.2,42,0,2.6
Porto Ferreira,BR,-21.85,-47.48,64.4,82,40,3.1
Ambilobe,MG,-13.2,49.05,78.72800000000007,65,68,1.68
Mogadishu,SO,2.04,45.34,77.0,73,75,11.3
Saint-Augustin,CA,51.23,-58.65,60.08000000000004,47,0,3.82
Touros,BR,-5.2,-35.46,75.2,88,75,5.1
Paphos,CY,34.77,32.42,87.36800000000008,70,20,7.2
Taltal,CL,-25.4,-70.48,62.81600000000001,47,0,1.27
Fort Nelson,CA,58.81,-122.7,59.0,77,90,1.5
Marquette,US,46.53,-87.63,72.33800000000005,64,62,0.89
Buchanan,LR,5.88,-10.05,78.8,83,75,4.1
Pingxiang,CN,27.62,113.85,82.49000000000002,75,30,0.62
Belūsovka,KZ,50.13,82.52,84.2,39,0,8.0
Bria,CF,6.54,21.99,79.77200000000003,80,1,2.4
Altamira,BR,-3.2,-52.21,86.0,70,20,3.1
Marsá Maţrūḩ,EG,31.35,27.25,84.2,51,0,4.1
Glenluce,GB,54.88,-4.81,60.008,86,100,1.79
Port Elizabeth,ZA,-33.92,25.57,62.6,42,19,1.0
Tegul'det,RU,57.31,88.17,59.07200000000004,70,99,1.53
Santa Helena,BR,-2.23,-45.3,88.82600000000009,55,0,2.02
Amahai,ID,-3.33,128.92,77.30600000000003,88,91,2.43
Pontian Kecil,MY,1.48,103.39,78.26000000000008,94,20,2.68
Springdale,US,36.19,-94.13,79.89800000000002,88,1,5.1
Monte Alegre de Sergipe,BR,-10.03,-37.56,81.98600000000008,56,39,4.59
Antofagasta,CL,-23.65,-70.4,50.0,87,20,3.6
Mandalgovi,MN,45.76,106.27,75.308,21,0,1.98
Sittwe,MM,20.15,92.9,82.67000000000006,84,10,3.8
Bealanana,MG,-14.55,48.73,67.24400000000007,65,90,2.02
Pangoa,PE,-12.12,-73.0,75.72200000000004,72,9,0.67
Luganville,VU,-15.53,167.17,74.46200000000006,78,76,0.66
Mufumbwe,ZM,-13.68,24.8,81.266,15,0,4.52
Punakha,BT,27.58,89.86,73.79600000000005,64,100,0.76
Urengoy,RU,65.97,78.37,56.15600000000003,87,100,4.49
Sept-Îles,CA,50.2,-66.38,64.184,68,20,4.6
Chiradzulu,MW,-15.67,35.14,67.29800000000003,45,2,7.5
Norman Wells,CA,65.28,-126.83,55.4,82,20,1.5
Takoradze,GH,4.88,-1.76,79.808,67,33,5.59
Karratha,AU,-20.74,116.85,65.53399999999999,66,0,1.87
Maroantsetra,MG,-15.43,49.73,72.82400000000001,82,10,3.48
Faya,SA,18.39,42.45,88.7,10,40,2.6
Evanston,US,42.04,-87.69,79.61000000000008,57,75,4.6
Sibu,MY,2.3,111.82,80.24000000000002,83,40,1.0
La Ronge,CA,55.1,-105.28,59.0,77,90,6.7
Ampanihy,MG,-24.7,44.75,70.23200000000001,54,54,5.87
Conde,BR,-7.26,-34.91,80.6,78,75,4.1
Yukhnov,RU,54.74,35.23,65.46200000000006,88,53,1.61
Boa Vista,BR,2.82,-60.67,80.6,78,40,2.6
Kaitangata,NZ,-46.28,169.85,42.008,92,58,2.13
Pāsighāt,IN,28.07,95.33,79.61000000000008,80,100,0.76
Kutum,SD,14.2,24.67,84.39800000000002,38,41,2.29
Diamantino,BR,-14.41,-56.45,89.74400000000007,32,20,1.3
Narganá,PA,9.44,-78.59,82.50800000000001,75,5,1.89
Sirte,LY,31.21,16.59,83.08399999999999,57,0,6.25
Araouane,ML,18.9,-3.53,102.99199999999999,24,100,4.67
Lorengau,PG,-2.02,147.27,81.95,68,93,2.55
Aykhal,RU,66.0,111.5,71.6,43,20,2.0
Kulhudhuffushi,MV,6.62,73.07,84.27200000000003,75,100,6.85
Simbahan,PH,6.3,120.58,83.60600000000002,71,39,3.15
Imeni Poliny Osipenko,RU,52.42,136.49,66.66800000000009,85,100,2.74
Makkah al Mukarramah,SA,21.43,39.83,106.71800000000009,7,0,10.63
Ocampo,MX,21.65,-101.5,59.75600000000003,76,5,1.48
Pozhva,RU,59.09,56.08,86.07200000000003,52,9,3.77
Jonuta,MX,18.08,-92.13,80.6,83,20,5.61
Barguzin,RU,53.62,109.62,63.266000000000005,80,84,1.84
Mizdah,LY,31.45,12.98,97.23200000000001,17,15,0.45
Anicuns,BR,-16.46,-49.96,83.42600000000009,26,0,3.89
Talnakh,RU,69.49,88.4,50.0,81,75,4.0
Berlevåg,NO,70.86,29.09,50.0,81,23,8.7
Rosoman,MK,41.52,21.95,87.8,29,40,1.5
Kamaishi,JP,39.27,141.88,61.39400000000008,87,100,2.92
Nizwá,OM,22.93,57.53,97.97000000000006,26,100,2.41
Nouadhibou,MR,20.93,-17.03,77.0,65,8,8.7
George Town,MY,5.41,100.34,83.24600000000005,83,20,3.1
Kiunga,PG,-6.12,141.29,74.33600000000007,97,100,1.57
Mercedes,AR,-34.65,-59.43,49.98200000000001,53,0,1.79
Virginia Beach,US,36.85,-75.98,83.62400000000001,66,20,3.6
Muravlenko,RU,63.79,74.52,76.37000000000006,67,63,1.92
Sydney,AU,-33.87,151.21,52.30400000000005,62,40,6.2
Ust'ye,RU,59.63,39.74,61.070000000000064,85,99,5.89
Nerchinskiy Zavod,RU,51.31,119.61,63.05,90,100,0.96
Roald,NO,62.58,6.13,60.89000000000002,77,93,1.5
Yarmouth,US,41.71,-70.23,65.03000000000004,87,90,8.05
Los Andes,CL,-32.83,-70.6,40.02800000000006,86,0,1.5
Praia,CV,14.92,-23.51,82.4,69,75,6.7
Mehamn,NO,71.04,27.85,48.2,81,3,4.1
Baturaja,ID,-4.13,104.17,75.32600000000009,95,99,0.71
Kencong,ID,-8.28,113.37,75.18200000000002,89,98,2.0
Mergen,CN,49.18,125.22,69.00800000000001,82,100,1.47
Rovnoye,RU,50.78,46.05,76.24400000000007,47,1,5.85
Hamilton,US,39.18,-84.53,81.01400000000004,65,1,2.1
Buritizeiro,BR,-17.35,-44.96,82.59800000000003,30,1,3.98
Jishou,CN,28.32,109.72,76.96400000000003,92,100,1.72
Muroto-misakicho,JP,33.28,134.15,74.75,84,100,4.78
Guiratinga,BR,-16.35,-53.76,86.43200000000002,31,0,3.82
Inhambane,MZ,-23.86,35.38,71.29400000000007,46,75,7.2
Bud,US,39.45,-86.18,77.37800000000007,69,1,1.5
Jacareacanga,BR,-6.22,-57.75,82.4,69,0,1.5
Manggar,ID,-2.88,108.27,79.016,88,82,3.96
Riyadh,SA,24.69,46.72,113.0,12,88,2.6
Nouakchott,MR,18.09,-15.98,80.6,61,20,6.7
Talcahuano,CL,-36.72,-73.12,46.4,87,0,4.6
Escanaba,US,45.75,-87.06,69.27800000000006,82,1,2.6
Grand Gaube,MU,-20.01,57.66,73.00400000000005,70,90,3.13
Ginir,ET,7.13,40.7,67.64000000000001,73,84,5.76
Cabo Rojo,PR,18.09,-67.15,86.32400000000001,56,0,0.45
Gorontalo,ID,0.54,123.06,75.59600000000005,88,65,1.06
Rossland,CA,49.08,-117.8,62.00600000000003,54,0,0.66
Charlestown,AU,-32.95,151.67,53.67200000000004,68,87,1.79
Emerald,AU,-23.53,148.17,52.556000000000026,47,0,4.1
Yar-Sale,RU,66.83,70.83,60.98000000000004,89,100,5.24
Erenhot,CN,43.65,111.98,85.37000000000006,27,66,3.48
Bilibino,RU,68.05,166.44,53.041999999999994,80,100,0.82
Cockburn Town,TC,21.46,-71.14,81.28399999999999,80,81,6.11
Villa Vicente Guerrero,MX,19.12,-98.17,57.2,87,75,1.5
Castel Volturno,IT,41.01,13.95,82.14800000000002,58,40,4.1
Klaksvík,FO,62.23,-6.59,51.8,93,75,6.7
Tiarei,PF,-17.53,-149.33,75.092,88,20,0.5
Alice Springs,AU,-23.7,133.88,42.8,45,0,0.5
Zhaozhou,CN,45.68,125.32,76.424,60,5,2.34
Zhuhai,CN,22.28,113.57,86.36000000000008,83,100,5.7
Adrar,MR,20.5,-10.07,105.76400000000004,15,0,1.89
Kumul,CN,42.8,93.45,86.43200000000002,14,24,6.19
Kodinsk,RU,58.69,99.18,55.25600000000003,59,1,3.21
Te Anau,NZ,-45.42,167.72,31.838000000000044,97,67,1.08
Mineros,BO,-17.12,-63.23,68.0,64,75,3.6
Agadez,NE,19.75,10.25,103.38800000000005,7,0,3.04
Dzhebariki-Khaya,RU,62.22,135.8,60.8,70,45,1.97
Guangzhou,CN,23.12,113.25,90.21200000000006,52,40,5.0
Emba,KZ,48.83,58.14,97.05200000000008,15,0,5.85
Brownsville,US,25.9,-97.5,84.36200000000005,70,1,6.7
Sertânia,BR,-8.07,-37.26,84.12800000000007,39,0,4.5
Krasnystaw,PL,50.98,23.17,72.66200000000006,49,3,1.0
Gannan,CN,47.91,123.5,71.43800000000005,76,0,1.89
Constitución,CL,-35.33,-72.42,55.32800000000007,67,0,1.65
Magadan,RU,59.57,150.8,52.10600000000003,93,41,1.52
Qūchān,IR,37.11,58.51,77.86400000000003,34,69,5.98
Alofi,NU,-19.06,-169.92,69.8,77,100,3.6
Yumen,CN,40.28,97.2,80.76200000000006,24,98,2.19
Tilichiki,RU,60.47,166.1,47.768000000000086,97,100,1.25
Rawson,AR,-43.3,-65.1,40.92800000000007,64,16,4.38
Sitka,US,57.05,-135.33,53.6,87,90,2.6
Bingöl,TR,38.88,40.49,93.2,21,20,2.1
Kaithal,IN,29.8,76.38,99.03200000000001,36,21,3.86
