city,Country,lat,long,temp,humidity,cloudiness,wind speed
Port Elizabeth,ZA,-33.92,25.57,297.15,33,0,2.1
Salalah,OM,17.02,54.09,303.15,79,40,4.6
Sittwe,MM,20.15,92.9,302.54,79,100,2.62
Pangnirtung,CA,66.15,-65.71,288.65,37,79,2.17
Hamilton,US,39.18,-84.53,293.68,94,50,0.41
Klaksvík,FO,62.23,-6.59,285.15,76,12,7.2
Tuktoyaktuk,CA,69.45,-133.04,277.39,78,2,4.97
Chokurdakh,RU,70.63,147.92,282.11,67,54,3.12
Bushenyi,UG,-0.59,30.21,297.81,40,100,3.87
Nakapiripirit,UG,1.92,34.78,295.31,70,99,2.03
Roebourne,AU,-20.78,117.13,293.86,70,0,2.99
Oranjemund,NA,-28.55,16.43,296.51,21,0,7.64
St. George's,GD,12.06,-61.75,302.15,74,20,6.2
Taoudenni,ML,22.68,-3.98,316.7,13,8,1.42
Torbay,CA,47.67,-52.73,283.36,100,90,7.7
Benghazi,LY,32.12,20.07,301.39,59,0,5.52
Saldanha,ZA,-33.01,17.94,297.15,25,0,7.7
Barrow,US,71.29,-156.79,274.15,80,90,6.2
Chipinge,ZW,-20.19,32.62,288.62,53,67,3.74
Ribeira Grande,PT,38.52,-28.7,296.15,56,75,4.1
Srednekolymsk,RU,67.45,153.68,280.76,96,100,2.59
Sri Aman,MY,1.24,111.46,299.99,88,87,3.1
Bluff,NZ,-46.6,168.33,276.31,83,16,2.76
Diffa,NE,13.32,12.61,306.01,42,45,4.55
Saint Paul Harbor,US,57.79,-152.41,286.15,87,90,3.1
Zhigansk,RU,66.77,123.37,286.61,90,100,3.7
Río Gallegos,AR,-51.62,-69.22,265.15,100,90,1.0
Hambantota,LK,6.12,81.12,305.15,62,75,6.2
Dikson,RU,73.51,80.55,278.52,92,75,4.54
Kumul,CN,42.8,93.45,307.28,14,26,2.84
Yeppoon,AU,-23.13,150.73,283.15,61,0,1.84
Berzovia,RO,45.43,21.63,297.35,64,40,6.2
Gigmoto,PH,13.78,124.39,301.27,78,97,2.68
Saint George,US,37.1,-113.58,298.66,23,1,1.5
Samaná,DO,19.21,-69.34,296.15,100,20,1.78
Nur-Sultan,KZ,51.18,71.45,304.15,40,69,11.0
Tabory,RU,58.52,64.55,305.82,38,65,3.8
Nikolskoye,RU,59.7,30.79,293.53,31,0,6.0
Bengkulu,ID,-3.8,102.27,299.58,82,99,0.98
Avarua,CK,-21.21,-159.78,291.15,88,10,1.0
Tūkrah,LY,32.53,20.58,301.51,53,0,4.91
Iqaluit,CA,63.75,-68.51,279.98,100,90,2.97
Vikhorevka,RU,56.12,101.16,288.15,93,75,4.0
Hobart,AU,-42.88,147.33,276.08,86,20,1.5
Ancud,CL,-41.87,-73.82,282.61,100,90,5.7
São Filipe,CV,14.9,-24.5,297.21,77,49,3.8
Talcahuano,CL,-36.72,-73.12,285.15,93,100,9.3
Merrill,US,45.18,-89.68,290.69,100,1,1.98
Airai,TL,-8.93,125.41,288.78,100,81,1.13
Carutapera,BR,-1.2,-46.02,299.62,89,71,3.23
Awjilah,LY,29.11,21.29,311.03,19,0,4.17
Fortuna,US,40.6,-124.16,285.45,100,90,2.1
Hasaki,JP,35.73,140.83,292.11,100,75,3.1
Sidmouth,GB,50.69,-3.24,294.32,64,40,4.1
Bambous Virieux,MU,-20.34,57.76,297.36,64,40,6.7
Nome,US,64.5,-165.41,285.56,87,90,1.5
Manacapuru,BR,-3.3,-60.62,297.15,94,45,1.26
Bonfim,BR,3.08,-59.95,298.92,80,74,0.71
Eureka,US,40.8,-124.16,286.04,93,14,0.45
Usinsk,RU,65.99,57.53,294.96,61,100,2.54
Yuanping,CN,38.72,112.76,292.36,88,57,0.94
Kibuye,RW,-2.06,29.35,296.15,46,75,9.3
Yatou,CN,37.15,122.38,293.76,92,98,3.48
Hithadhoo,MV,-0.6,73.08,302.44,72,90,4.96
Fort Nelson,CA,58.81,-122.7,284.63,99,100,0.97
Longyearbyen,SJ,78.22,15.64,283.15,71,40,1.0
Emerald,AU,-23.53,148.17,284.02,32,0,3.6
Berezeni,RO,46.38,28.15,300.7,41,78,0.94
Solnechnyy,RU,50.72,136.63,292.62,93,88,1.53
Khatanga,RU,71.97,102.5,279.7,84,100,7.49
Sorong,ID,-0.88,131.25,299.64,82,97,2.19
El Fuerte,MX,26.42,-108.62,300.51,63,4,1.04
Ahipara,NZ,-35.17,173.17,287.95,89,100,4.02
Lethem,GY,3.38,-59.8,299.0,79,60,0.96
Carballo,ES,43.21,-8.69,297.76,60,23,4.02
Henties Bay,NA,-22.12,14.28,301.3,19,0,8.32
Hilo,US,19.73,-155.09,294.71,88,90,2.1
Nola,IT,40.92,14.53,301.16,54,40,4.6
Kulhudhuffushi,MV,6.62,73.07,301.54,79,98,5.3
Conde,BR,-7.26,-34.91,297.15,83,40,5.1
Warmbad,NA,-28.45,18.73,296.74,16,0,4.56
Aklavik,CA,68.22,-135.01,283.15,81,20,2.1
Tonantins,BR,-2.87,-67.8,296.01,94,48,0.35
Esperance,AU,-33.87,121.9,282.15,100,75,7.7
Siniscola,IT,40.57,9.69,302.15,45,20,5.7
Codrington,AU,-38.27,141.97,279.68,83,52,4.58
Christchurch,NZ,-43.53,172.63,280.58,100,99,3.1
Vaini,TO,-21.2,-175.2,297.15,88,75,3.1
Cap-Haïtien,HT,19.76,-72.2,298.86,80,12,2.92
Dubti,ET,11.74,41.09,311.34,22,60,0.37
Rantauprapat,ID,2.1,99.83,298.02,91,37,0.92
Saint-Philippe,RE,-21.36,55.77,292.98,64,98,7.7
Koratagere,IN,13.52,77.23,298.53,88,75,6.2
Baraboo,US,43.47,-89.74,291.0,93,1,2.1
Ciudad Sabinas Hidalgo,MX,26.5,-100.17,297.18,87,4,1.15
Charters Towers,AU,-20.1,146.27,286.12,40,0,3.82
Ylivieska,FI,64.08,24.55,294.85,51,50,2.24
Giohar,SO,2.78,45.5,303.53,45,100,11.57
Arraial do Cabo,BR,-22.97,-42.03,294.15,73,0,6.7
Canto do Buriti,BR,-8.11,-42.94,298.17,53,0,5.37
Shubarshi,KZ,48.59,57.19,310.97,12,12,4.09
Viedma,AR,-40.81,-63.0,280.93,84,100,0.45
Sesheke,ZM,-17.48,24.3,290.15,24,0,5.1
Lata,PT,40.16,-8.33,310.83,23,0,0.89
Guánica,PR,17.97,-66.91,300.44,67,1,1.34
Yellowknife,CA,62.46,-114.35,286.45,71,75,3.1
Kawalu,ID,-7.38,108.21,296.71,91,99,1.58
Lindås,NO,60.74,5.16,286.67,99,100,1.79
New Norfolk,AU,-42.78,147.06,276.09,86,5,1.14
Butaritari,KI,3.07,172.79,301.57,77,28,6.77
Beyneu,KZ,45.32,55.2,313.88,9,26,1.31
Norman Wells,CA,65.28,-126.83,280.15,100,40,1.0
Vestmannaeyjar,IS,63.44,-20.27,282.15,70,40,13.9
Narok,KE,-1.08,35.86,295.22,43,93,3.08
Surab,PK,28.49,66.26,306.34,17,48,1.5
Karratha,AU,-20.74,116.85,293.95,72,1,2.84
Itarema,BR,-2.92,-39.92,300.26,60,1,6.47
Iracoubo,GF,5.48,-53.2,299.43,84,81,3.83
Lebu,CL,-37.62,-73.65,284.78,89,99,6.26
Souillac,MU,-20.52,57.52,297.15,64,40,6.7
Kingsville,US,27.52,-97.86,298.72,88,75,1.59
Salinópolis,BR,-0.61,-47.36,300.28,84,85,4.28
Sterling,US,39.01,-77.43,297.0,83,1,4.6
Tadine,NC,-21.55,167.88,292.31,67,0,2.19
Ashland,US,40.82,-82.27,293.37,100,90,1.46
Cayenne,GF,4.93,-52.33,299.15,94,90,1.0
Walvis Bay,NA,-22.96,14.51,301.15,13,0,2.6
Wasilla,US,61.58,-149.44,286.81,71,75,2.1
Santa Isabel Rio Negro,BR,-0.41,-65.02,296.8,95,45,0.75
Taksimo,RU,56.34,114.88,288.22,68,100,1.38
Cherskiy,RU,68.75,161.3,280.63,78,24,4.75
Qaanaaq,GL,77.48,-69.36,279.71,62,96,5.42
Evanton,GB,57.66,-4.34,290.05,63,40,6.2
Narsaq,GL,60.92,-46.05,288.15,33,20,2.1
Hildburghausen,DE,50.43,10.73,293.74,52,31,0.89
San Patricio,MX,19.22,-104.7,298.87,86,95,1.71
San Buenaventura,MX,27.08,-101.53,300.37,69,6,1.17
Alyangula,AU,-13.85,136.42,292.15,82,41,3.75
Grindavik,IS,63.84,-22.43,280.15,81,90,14.9
Longview,US,32.5,-94.74,297.35,88,1,1.5
Shilka,RU,51.85,116.03,294.46,54,36,4.44
Cukai,MY,4.25,103.42,303.15,79,20,1.0
Shelburne,CA,44.08,-80.2,291.19,93,1,1.0
Oiã,PT,40.54,-8.54,310.62,23,0,0.89
Chu,KZ,43.6,73.76,310.1,14,92,7.69
Redmond,US,47.67,-122.12,288.4,89,99,1.49
Cabo San Lucas,MX,22.89,-109.91,297.27,72,62,0.45
Puerto Carreño,CO,6.19,-67.49,298.15,88,40,1.37
Owando,CG,-0.48,15.9,301.24,66,83,0.66
Buala,SB,-8.14,159.59,299.89,79,83,2.02
Rivadavia,AR,-33.19,-68.46,276.15,74,2,2.1
Broome,US,42.25,-75.83,292.48,93,90,3.1
Lüderitz,NA,-26.65,15.16,305.15,7,0,7.7
Arlit,NE,18.74,7.39,310.83,26,41,4.89
Fukuechō,JP,32.69,128.84,295.99,88,37,4.84
Nichinan,JP,31.6,131.37,296.15,88,75,1.0
Kaitangata,NZ,-46.28,169.85,278.15,80,87,0.89
Shimoda,JP,34.67,138.95,290.93,96,100,0.89
Palm Coast,US,29.59,-81.21,297.64,100,1,2.07
Tuy Hoa,VN,13.08,109.3,301.01,79,69,4.65
Chicama,PE,-7.84,-79.15,289.7,79,11,1.55
Makkah al Mukarramah,SA,21.43,39.83,315.45,12,17,7.95
Upata,VE,8.01,-62.4,296.82,88,64,2.2
Lichinga,MZ,-13.31,35.24,289.06,53,89,5.16
Camocim,BR,-2.9,-40.84,301.14,57,0,6.6
Touros,BR,-5.2,-35.46,297.15,83,75,3.1
Regeneração,BR,-6.24,-42.69,299.99,47,0,4.68
Prince Rupert,CA,54.32,-130.32,285.15,93,90,1.0
Guerrero Negro,MX,27.98,-114.06,291.34,91,0,3.03
Ormstown,CA,45.13,-74.0,291.3,85,97,2.27
Egvekinot,RU,66.32,-179.17,284.79,94,98,0.79
Waingapu,ID,-9.66,120.26,297.24,83,0,3.77
Ucluelet,CA,48.93,-125.55,285.93,90,49,2.56
Thompson,CA,55.74,-97.86,284.15,93,20,1.5
São Raimundo Nonato,BR,-9.02,-42.7,297.66,54,0,4.68
Tarakan,ID,3.3,117.63,300.36,76,67,3.96
Gwanda,ZW,-20.93,29.0,291.59,34,48,4.96
Carnarvon,AU,-24.87,113.63,289.15,72,0,4.6
Tasiilaq,GL,65.61,-37.64,282.15,66,20,1.5
Ketchikan,US,55.34,-131.65,286.15,93,90,2.1
Karasjok,NO,69.47,25.51,297.15,47,91,8.7
Grand Gaube,MU,-20.01,57.66,297.59,58,62,5.36
Vezirköprü,TR,41.14,35.45,299.15,50,40,9.3
Nanortalik,GL,60.14,-45.24,282.86,51,22,4.27
West Bay,KY,19.37,-81.42,300.86,83,20,2.1
Padang,ID,-0.95,100.35,300.11,77,42,1.24
Marabba,SD,12.35,32.18,307.27,38,15,6.69
Obo,CF,5.4,26.49,299.51,81,77,1.44
Tiarei,PF,-17.53,-149.33,296.04,94,20,1.5
Beldānga,IN,23.93,88.25,305.86,69,60,3.94
Döbrököz,HU,46.42,18.24,287.15,93,90,2.6
Oxelösund,SE,58.67,17.1,297.15,47,26,5.1
Haines Junction,CA,60.75,-137.51,281.59,85,100,1.7
Poum,NC,-20.23,164.02,294.23,59,0,5.6
Tsivil'sk,RU,55.86,47.47,293.15,56,75,4.0
Kapoeta,SS,4.77,33.59,303.78,42,100,3.76
Assiut,EG,27.18,31.18,305.15,31,0,6.7
Grand Baie,MU,-20.02,57.58,297.59,58,59,5.36
Biak,ID,-0.91,122.88,298.24,84,79,2.16
Esso,RU,55.93,158.7,285.79,83,100,1.51
Hargeisa,SO,9.56,44.06,300.95,39,90,9.49
Lakes Entrance,AU,-37.88,147.98,281.48,96,8,2.28
Nouakchott,MR,18.09,-15.98,301.15,58,27,3.1
Yerofey Pavlovich,RU,53.97,121.97,290.27,95,94,0.73
Nara,JP,34.69,135.8,296.68,94,75,2.6
Tsabong,BW,-26.02,22.4,293.54,19,0,3.94
Tomatlán,MX,19.93,-105.25,297.19,92,100,1.62
Batagay-Alyta,RU,67.8,130.41,283.96,85,100,0.88
Charter Township of Clinton,US,42.59,-82.92,293.75,100,1,2.1
Micheweni,TZ,-4.97,39.83,298.84,53,28,9.92
Cidreira,BR,-30.18,-50.21,287.25,93,86,0.57
Kasauli,IN,30.9,76.96,300.75,56,46,0.85
Kieta,PG,-6.22,155.63,299.66,78,66,2.95
Gouré,NE,13.98,10.27,304.82,57,18,4.92
Fairbanks,US,64.84,-147.72,286.05,93,90,1.22
Saint-Louis,SN,16.33,-15.0,304.15,62,92,2.09
Chapada dos Guimarães,BR,-15.46,-55.75,292.15,63,0,2.1
Krosno,PL,49.69,21.77,290.3,82,75,4.1
Sabang,ID,5.89,95.32,301.65,75,100,1.19
Provideniya,RU,64.38,-173.3,285.78,75,73,0.42
Soyo,AO,-6.13,12.37,298.44,68,62,3.83
Lorengau,PG,-2.02,147.27,301.33,71,78,2.43
Lubaczów,PL,50.16,23.12,291.63,81,100,2.24
Jiayuguan City,CN,39.82,98.3,291.89,48,65,2.16
Verkhnevilyuysk,RU,63.45,120.32,290.01,85,83,1.84
Pontian Kecil,MY,1.48,103.39,303.86,66,20,2.1
Yulara,AU,-25.24,130.99,283.15,27,0,1.25
Victor Harbor,AU,-35.57,138.62,285.57,68,84,0.45
Waddān,LY,29.16,16.14,315.28,11,0,8.52
Beringovskiy,RU,63.05,179.32,284.46,81,100,2.55
Hare Bay,CA,48.85,-54.01,283.92,76,20,2.1
Kosh-Agach,RU,50.0,88.67,295.23,40,2,2.49
Atar,MR,20.52,-13.05,310.3,23,0,2.33
Grand Forks,US,47.93,-97.03,288.63,82,20,1.5
Zhezkazgan,KZ,47.8,67.71,308.15,12,52,6.0
Puerto Madryn,AR,-42.77,-65.04,282.67,84,100,7.49
Paso del Toro,MX,19.03,-96.12,295.55,100,90,10.3
Kavaratti,IN,10.57,72.64,301.63,82,100,8.59
Newtownards,GB,54.59,-5.69,290.53,88,100,6.2
Saint-Augustin,CA,51.23,-58.65,293.12,43,96,1.33
San,ML,13.3,-4.9,302.87,57,61,1.68
Karpogory,RU,64.0,44.45,293.96,71,73,2.86
Kochubey,RU,44.39,46.58,304.48,46,84,8.76
Lompoc,US,34.64,-120.46,287.51,87,90,1.5
Rock Sound,BS,24.9,-76.2,301.44,78,56,7.87
Anamur,TR,36.08,32.84,305.15,55,20,3.6
Namatanai,PG,-3.67,152.43,300.04,77,54,1.55
Maceió,BR,-9.67,-35.74,294.15,88,75,1.5
Nosy Varika,MG,-20.58,48.53,294.79,60,32,5.75
Ponta Delgada,PT,37.73,-25.67,293.15,88,75,3.6
Teya,RU,60.38,92.63,286.05,64,100,4.27
San Rafael del Sur,NI,11.85,-86.44,297.15,88,40,2.1
Omsukchan,RU,62.53,155.8,281.17,90,37,0.91
Nyurba,RU,63.28,118.33,290.9,72,86,1.48
Half Moon Bay,US,37.46,-122.43,287.55,87,90,4.6
Kiszombor,HU,46.18,20.43,294.78,50,75,2.6
Szczecin,PL,53.43,14.55,296.06,60,40,1.5
Danilov,RU,58.19,40.17,293.15,68,75,4.0
Bougouni,ML,11.42,-7.48,301.95,62,86,3.08
Bafia,CM,4.75,11.23,299.38,76,94,1.44
Zorya,UA,45.99,29.7,300.27,36,29,4.81
Grand Island,US,40.92,-98.34,294.86,88,40,4.6
Buenos Aires,AR,-34.61,-58.38,283.04,81,62,3.1
Santa Cruz de la Sierra,BO,-17.8,-63.17,294.77,94,40,3.1
Krasnosel'kup,RU,65.7,82.47,290.58,52,79,6.96
Ajdabiya,LY,30.76,20.23,306.98,26,0,6.13
Mosquera,CO,4.71,-74.23,284.15,93,75,2.58
Gunjur,GM,13.2,-16.73,300.15,83,75,1.0
Geraldton,AU,-28.77,114.6,285.15,76,40,2.1
Basoko,CD,1.24,23.62,301.0,67,99,2.6
Vila Franca do Campo,PT,37.72,-25.43,293.15,88,75,3.6
Pevek,RU,69.7,170.31,278.74,93,91,2.48
East Wenatchee Bench,US,47.43,-120.28,294.15,46,1,5.7
Nabire,ID,-3.37,135.48,298.63,84,99,1.18
Aykhal,RU,66.0,111.5,290.15,59,75,3.0
Kabinda,CD,-6.13,24.48,304.01,22,68,3.3
Nouadhibou,MR,20.93,-17.03,297.15,78,20,5.7
Marawi,PH,8.0,124.29,297.59,88,97,3.58
Dondo,MZ,-19.61,34.74,294.98,64,40,8.2
Skovorodino,RU,53.98,123.92,292.01,94,86,1.87
Te Anau,NZ,-45.42,167.72,273.42,92,51,0.41
Dudinka,RU,69.41,86.18,286.15,58,75,8.0
Tuatapere,NZ,-46.13,167.68,274.29,90,6,1.42
Denpasar,ID,-8.65,115.22,299.15,100,20,5.1
Mogadishu,SO,2.04,45.34,299.15,74,40,6.7
Husavik,IS,66.04,-17.34,282.15,93,75,15.4
Puerto Escondido,MX,15.85,-97.07,298.73,73,75,1.94
Winnemucca,US,40.97,-117.74,291.15,27,1,1.5
Tinskoy,RU,56.15,96.92,289.12,61,65,4.21
Inhambane,MZ,-23.86,35.38,293.81,62,84,5.11
Mitsamiouli,KM,-11.38,43.28,298.96,66,67,4.14
Burnie,AU,-41.07,145.92,278.71,90,18,0.89
Ha Tinh,VN,18.33,105.9,306.14,54,34,3.91
Porto Belo,BR,-27.16,-48.55,289.11,93,20,2.18
Palmer,US,42.16,-72.33,289.49,88,90,1.5
Muzhi,RU,65.37,64.67,295.09,64,94,3.93
Kamenka,RU,51.32,42.77,300.37,33,99,0.45
Basco,PH,20.45,121.97,302.68,77,98,4.05
Laguna,US,38.42,-121.42,288.75,77,1,4.6
Moose Factory,CA,51.26,-80.61,292.15,82,90,6.2
Merritt,CA,50.11,-120.79,290.76,60,40,5.7
Mora,CM,11.05,14.14,303.15,70,20,2.6
Portland,US,45.52,-122.68,290.4,77,90,2.1
Mareeba,AU,-17.0,145.43,288.41,72,8,2.6
Nazrēt,ET,8.55,39.27,294.81,64,100,5.95
Gazli,UZ,40.13,63.45,313.41,8,46,4.01
Ust-Nera,RU,64.57,143.2,288.52,52,95,1.63
Puerto Lleras,CO,3.02,-73.4,294.65,94,68,0.39
Morondava,MG,-20.28,44.28,301.21,35,26,5.89
Isangel,VU,-19.55,169.27,295.37,80,73,3.79
Rapid City,US,44.08,-103.23,291.54,77,1,0.8
Iralaya,HN,15.0,-83.23,299.24,82,91,0.53
Saskylakh,RU,71.92,114.08,284.12,89,100,4.45
Verkhoyansk,RU,67.54,133.38,286.6,60,99,0.91
Mafra,BR,-26.11,-49.81,286.48,92,84,5.81
Cândido de Abreu,BR,-24.57,-51.33,290.42,77,51,1.13
Al Bardīyah,LY,31.76,25.09,301.61,57,4,9.09
Wittstock,DE,53.16,12.48,295.08,62,80,4.39
Muros,ES,42.78,-9.06,303.71,41,2,4.47
Caravelas,BR,-17.71,-39.25,296.24,64,62,3.24
Huarmey,PE,-10.07,-78.15,288.48,83,59,1.85
Antofagasta,CL,-23.65,-70.4,286.15,76,90,2.1
Djougou,BJ,9.71,1.67,299.15,74,75,3.6
Javorník,CZ,50.39,17.0,288.71,64,72,0.45
Maksi,IN,23.27,76.15,305.5,56,52,3.98
Bara,NG,10.37,10.73,301.74,65,98,5.21
Karla,EE,59.37,24.93,297.15,47,2,3.6
Mufumbwe,ZM,-13.68,24.8,294.94,30,17,5.33
Bhag,PK,29.04,67.82,319.4,16,1,3.87
Umluj,SA,25.02,37.27,304.6,61,0,4.92
Zambezi,ZM,-13.54,23.1,296.32,26,5,5.63
Quelimane,MZ,-17.88,36.89,296.04,69,75,1.5
Ventspils,LV,57.39,21.56,295.15,56,0,4.1
Sinnamary,GF,5.38,-52.95,299.65,83,81,3.73
Inuvik,CA,68.35,-133.72,283.15,81,20,2.1
Pushkino,RU,56.02,37.87,291.52,82,75,4.0
North Bend,US,43.41,-124.22,287.98,100,90,3.6
Chernyshevskiy,RU,63.01,112.47,288.5,63,78,1.74
Aquiraz,BR,-3.9,-38.39,299.15,69,34,6.2
Whitefish,US,48.41,-114.34,290.15,67,20,2.6
Faya,SA,18.39,42.45,302.65,28,72,5.7
Deputatsky,RU,69.3,139.9,279.37,69,25,5.98
Chui,UY,-33.7,-53.46,284.25,92,0,3.0
Talnakh,RU,69.49,88.4,286.15,58,75,8.0
Clyde River,CA,70.47,-68.59,280.15,87,1,6.7
Acapulco de Juárez,MX,16.86,-99.89,299.04,72,79,1.51
Itaituba,BR,-4.28,-55.98,298.15,88,20,1.03
Seoul,KR,37.57,126.98,299.84,65,1,2.11
Chapais,CA,49.78,-74.85,291.15,93,90,1.5
Linares,CL,-35.85,-71.6,282.98,86,100,5.0
Ossora,RU,59.24,163.07,285.53,94,90,0.87
Ganzhou,CN,28.82,115.43,302.38,77,99,1.86
Zaranj,AF,30.97,61.88,314.15,19,0,10.8
Nānākuli,US,21.39,-158.15,297.33,83,20,1.5
Acámbaro,MX,20.03,-100.73,286.83,100,40,0.62
Chaiyaphum,TH,15.75,102.0,302.81,70,71,3.37
Oranjestad,AW,12.52,-70.03,301.15,78,20,8.2
Mago,RU,53.25,140.18,289.97,88,67,1.84
Rudnichnyy,RU,59.62,52.47,299.03,46,27,3.81
Mossamedes,AO,-15.2,12.15,304.34,19,11,2.22
Zhanakorgan,KZ,43.91,67.25,310.47,15,23,5.91
Albion,US,42.24,-84.75,290.67,100,40,2.03
Zyryanka,RU,65.75,150.85,282.03,73,50,4.28
Pokhara,NP,28.23,83.98,299.09,84,98,1.14
Saint-Joseph,RE,-21.37,55.62,293.19,64,98,7.7
Andenes,NO,69.31,16.12,288.15,87,75,3.6
Vuktyl,RU,63.86,57.31,294.63,79,100,2.0
Hōjō,JP,33.98,132.78,297.38,88,40,2.6
Karachi,PK,24.91,67.08,307.15,59,90,15.4
Conceição do Araguaia,BR,-8.26,-49.26,297.15,69,9,2.1
Port Macquarie,AU,-31.43,152.92,285.93,88,45,6.04
Havøysund,NO,71.0,24.66,289.83,52,98,4.6
Piaçabuçu,BR,-10.41,-36.43,298.3,73,20,5.84
Esim,GH,4.87,-2.24,299.17,76,99,3.97
Upernavik,GL,72.79,-56.15,280.68,65,47,0.74
Pilar,BR,-9.6,-35.96,294.15,88,75,1.5
Kerema,PG,-7.96,145.78,298.46,88,100,5.53
Concordia,AR,-31.39,-58.02,280.27,100,90,4.1
Grand Falls,CA,47.05,-67.74,286.19,76,75,2.6
Kahului,US,20.89,-156.47,296.5,65,1,2.6
Homer,US,59.64,-151.55,286.51,82,90,1.5
Peruíbe,BR,-24.32,-47.0,292.65,83,80,1.33
Touba,CI,8.28,-7.68,295.12,86,99,3.2
Brétigny-sur-Orge,FR,48.61,2.31,295.46,56,75,2.6
Karabük,TR,41.2,32.63,299.15,61,75,5.1
Mount Gambier,AU,-37.83,140.77,282.15,81,67,4.1
Samarai,PG,-10.62,150.67,297.39,83,98,6.38
Bazarnyy Syzgan,RU,53.75,46.75,295.69,55,32,3.03
Saint-Leu,RE,-21.15,55.28,293.64,64,81,7.7
Buarcos,PT,40.17,-8.88,305.57,45,0,4.1
Koungou,YT,-12.73,45.2,300.15,57,75,9.3
Constitución,CL,-35.33,-72.42,285.37,87,100,10.27
Kiryat Gat,IL,31.61,34.76,303.03,52,0,1.34
Roseburg,US,43.22,-123.34,288.15,67,1,1.5
Sungai Raya,ID,0.7,108.9,299.68,85,86,1.96
Kruisfontein,ZA,-34.0,24.73,296.7,20,0,3.68
Caorle,IT,45.6,12.88,296.13,54,33,3.13
Kidal,ML,18.44,1.41,310.63,26,25,3.07
Zaplavnoye,RU,48.7,45.02,304.99,22,76,3.0
Skjervøy,NO,70.03,20.97,292.15,59,100,1.5
Chuzhou,CN,32.32,118.3,296.48,99,100,4.06
Santa Luzia,BR,-19.77,-43.85,288.15,87,43,2.1
Quatre Cocos,MU,-20.21,57.76,297.38,64,40,6.7
